experiment,model,category,shot,seed,drift_level,policy,image_auroc,image_ap,pixel_auroc,pixel_ap,aupro_0.3,max_f1,iou_at_best_f1,fragmentation,pixel_threshold,fit_ms,inference_ms_per_image,memory_mb,normal_mean_score,anomaly_mean_score,delta_anomaly_score,accepted_updates
drift,ppm-ad-full,carpet,10,0,0.3,ungated,0.9831460674157302,0.9947845010583569,0.9820009859204053,0.3892615235340775,0.8189194477207619,0.47968284344233314,0.3155149840763757,0.008496278897680806,6.861562728881836,3314.020062003692,2.2809653329383384,0.1259765625,5.222247123718262,8.849156379699707,-0.08323192596435547,5967
drift,ppm-ad-full,carpet,10,0,0.3,gated,0.9823434991974318,0.9945497688945271,0.9816007777414488,0.3843041321900883,0.8511006824716635,0.475487583348743,0.311894857762588,0.01482032941951274,6.81611442565918,3314.020062003692,2.2773522650822997,0.1259765625,5.229949951171875,8.804290771484375,-0.03836631774902344,5967
drift,ppm-ad-full,carpet,10,0,0.4,fixed,0.9795345104333868,0.9941435961505061,0.9842276388152048,0.4422224608514456,0.8580965236380016,0.5319107529220519,0.3623149982065158,0.0028983072597171308,6.595455169677734,3314.020062003692,2.2957236751686168,0.1259765625,4.950736045837402,8.809703826904297,-0.04377937316894531,0
drift,ppm-ad-full,carpet,10,0,0.4,ungated,0.9803370786516854,0.9939451169272278,0.9799906849258165,0.3634987205841929,0.8021913885450986,0.4562162720442046,0.29551825413285343,0.006581661166011684,6.627925872802734,3314.020062003692,2.2941981537419798,0.1259765625,5.306399822235107,8.662074089050293,0.1038503646850586,5967
drift,ppm-ad-full,carpet,10,0,0.4,gated,0.9775280898876404,0.9929791718320697,0.979220531641589,0.35515770551263093,0.8943637303606715,0.44854484751303325,0.2891123515842662,0.009607960110753044,6.59435510635376,3314.020062003692,2.2885300771658645,0.1259765625,5.314742088317871,8.58730697631836,0.1786174774169922,5967
drift,ppm-ad-full,carpet,10,1,0.0,fixed,0.9875601926163724,0.9967910268324225,0.9890655961400102,0.5909581060006512,0.846066377046174,0.6105451359711073,0.4394134360009059,0.0007386651023207287,8.89692497253418,3180.993406000198,2.3106307695638666,0.1259765625,4.954025745391846,11.661517143249512,0.0,0
drift,ppm-ad-full,carpet,10,1,0.0,ungated,0.9875601926163724,0.9967910268324225,0.9890655961400102,0.5909581060006512,0.846066377046174,0.6105451359711073,0.4394134360009059,0.0007386651023207287,8.89692497253418,3180.993406000198,2.290964247915062,0.1259765625,4.954025745391846,11.661517143249512,0.0,5967
drift,ppm-ad-full,carpet,10,1,0.0,gated,0.9875601926163724,0.9967910268324225,0.9890655961400102,0.5909581060006512,0.846066377046174,0.6105451359711073,0.4394134360009059,0.0007386651023207287,8.89692497253418,3180.993406000198,2.280311290454318,0.1259765625,4.954025745391846,11.661517143249512,0.0,5967
drift,ppm-ad-full,carpet,10,1,0.1,fixed,0.9867576243980738,0.9966397866630335,0.9890360165887528,0.5919128676404937,0.8524640429705446,0.611032181032925,0.4399181699453106,0.0019230485733115477,8.84608268737793,3180.993406000198,2.290277256225892,0.1259765625,4.970951080322266,11.65803050994873,0.00348663330078125,0
drift,ppm-ad-full,carpet,10,1,0.1,ungated,0.9871589085072232,0.9967618251261907,0.9902061400462684,0.6134782248671405,0.7916184291952041,0.6129555892601526,0.44191489797590755,0.009635424037849574,9.19448184967041,3180.993406000198,2.285065247431501,0.1259765625,5.257134914398193,11.94438648223877,-0.2828693389892578,5967
drift,ppm-ad-full,carpet,10,1,0.1,gated,0.9863563402889245,0.9965661055548697,0.990106425362261,0.6120622661602646,0.7942761539812229,0.6111051841736546,0.43999385497746824,0.009745349879637913,9.222929000854492,3180.993406000198,2.292980692753843,0.1259765625,5.269427299499512,11.946069717407227,-0.28455257415771484,5967
drift,ppm-ad-full,carpet,10,1,0.2,fixed,0.9867576243980738,0.9966397866630335,0.9892032302830891,0.5899523027776488,0.8414791145195399,0.6100155423421881,0.43886500959161273,0.004327449070717134,8.883891105651855,3180.993406000198,2.290458316254553,0.1259765625,4.9825968742370605,11.661490440368652,2.6702880859375e-05,0
drift,ppm-ad-full,carpet,10,1,0.2,ungated,0.9879614767255217,0.9969615997095236,0.9901290707851654,0.6113233338069882,0.9258633385236253,0.609418243334112,0.4382469713936679,0.001581232324183666,9.220293045043945,3180.993406000198,2.280036538603525,0.1259765625,5.331640720367432,11.917790412902832,-0.2562732696533203,5967
drift,ppm-ad-full,carpet,10,1,0.2,gated,0.9871589085072232,0.9967186839606331,0.9900850322492482,0.6111724830908558,0.9327473474865855,0.6094731549090291,0.4383037674250411,0.001766938053991489,9.21677303314209,3180.993406000198,2.28986792310149,0.1259765625,5.3453369140625,11.913238525390625,-0.2517213821411133,5967
drift,ppm-ad-full,carpet,10,1,0.3,fixed,0.9875601926163725,0.9968367876449313,0.9891724747795286,0.591382013688741,0.8252367724620565,0.61006993006993,0.4389213121352385,0.0014951811055486305,8.909493446350098,3180.993406000198,2.3033969831512646,0.1259765625,4.995426654815674,11.640318870544434,0.021198272705078125,0
drift,ppm-ad-full,carpet,10,1,0.3,ungated,0.9891653290529695,0.997194518964182,0.9899094712990657,0.6075333930951273,0.884535099605333,0.6092454565297513,0.43806828414850646,0.0014498501147967725,9.332818031311035,3180.993406000198,2.2860270852479747,0.1259765625,5.41772985458374,11.985818862915039,-0.32430171966552734,5967
drift,ppm-ad-full,carpet,10,1,0.3,gated,0.9883627608346709,0.9969974013734364,0.9898887734328474,0.610770277870452,0.9153060939793219,0.6095098777591101,0.43834175303369616,0.0012726028436181784,9.31558895111084,3180.993406000198,2.2908158290138245,0.1259765625,5.430406093597412,11.846579551696777,-0.18506240844726562,5967
drift,ppm-ad-full,carpet,10,1,0.4,fixed,0.9875601926163724,0.9967910268324225,0.9891260774377799,0.5893329688267532,0.8101738466646314,0.6085014850533124,0.43729941391753896,0.001761847189551522,8.871081352233887,3180.993406000198,2.303886145781666,0.1259765625,5.002176761627197,11.627190589904785,0.03432655334472656,0
drift,ppm-ad-full,carpet,10,1,0.4,ungated,0.9883627608346709,0.9969608514597642,0.989834642350363,0.603740020940082,0.8142801638710191,0.6061590999395043,0.43488399566492547,0.001465363983430094,9.349888801574707,3180.993406000198,2.2948761022864628,0.1259765625,5.5260748863220215,11.952425956726074,-0.2909088134765625,5967
drift,ppm-ad-full,carpet,10,1,0.4,gated,0.9879614767255216,0.9968818375533167,0.9896948236227245,0.6025327229781152,0.8091576260883836,0.6052125614185003,0.43391024659212746,0.0013364317242743763,9.330394744873047,3180.993406000198,2.2890894105618136,0.1259765625,5.538221836090088,11.953729629516602,-0.29221248626708984,5967
drift,ppm-ad-full,carpet,10,2,0.0,fixed,0.9257624398073837,0.977794691971319,0.9747617901907268,0.37946157763939786,0.7784736886404876,0.43436672788208625,0.2774383603220796,0.003907361461109973,5.510989189147949,3137.833488995966,2.3046699231296466,0.1259765625,4.942074775695801,7.909035682678223,0.0,0
drift,ppm-ad-full,carpet,10,2,0.0,ungated,0.9257624398073837,0.977794691971319,0.9747617901907268,0.37946157763939786,0.7784736886404876,0.43436672788208625,0.2774383603220796,0.003907361461109973,5.510989189147949,3137.833488995966,2.2845411968330898,0.1259765625,4.942074775695801,7.909035682678223,0.0,5967
drift,ppm-ad-full,carpet,10,2,0.0,gated,0.9257624398073837,0.977794691971319,0.9747617901907268,0.37946157763939786,0.7784736886404876,0.43436672788208625,0.2774383603220796,0.003907361461109973,5.510989189147949,3137.833488995966,2.287421401694087,0.1259765625,4.942074775695801,7.909035682678223,0.0,5967
