experiment,model,category,shot,seed,image_auroc,image_ap,pixel_auroc,pixel_ap,aupro_0.3,max_f1,iou_at_best_f1,fragmentation,pixel_threshold,fit_ms,inference_ms_per_image,memory_mb,normal_mean_score,anomaly_mean_score
fewshot,patchcore,bottle,10,0,0.9968253968253968,0.9989838017340629,0.9857830033229604,0.7895601091701308,0.8853944544621606,0.7406260959287244,0.5880907120073277,0.0007421320791881177,0.41514092683792114,0.9604320002836175,0.49675309689398517,5.0,0.3099672198295593,0.6029815673828125
fewshot,patchcore-coreset,bottle,10,0,0.9968253968253968,0.9989838017340629,0.9853370248161317,0.7898974417949155,0.9103330127943298,0.7391646966115052,0.58625,0.004939490352621515,0.4384198486804962,0.8601299996371381,0.3638296383355901,0.5,0.3478262424468994,0.6213250756263733
fewshot,prototype-only,bottle,10,0,0.9976190476190476,0.9992440151090303,0.9839949513290859,0.7678849080933166,0.9305735123967139,0.7315815609880678,0.5767667344523565,0.0014316261519713887,5.832943439483643,3246.2763789953897,1.0731455906615481,0.1259765625,3.476680040359497,9.309592247009277
fewshot,ppm-ad-full,bottle,10,0,0.9976190476190476,0.9992440151090303,0.9815692517431318,0.7496557728351251,0.9157673883762618,0.7120477119907052,0.5528525541045248,0.014169280233614497,5.20817756652832,3032.522522000363,2.319160108549201,0.1259765625,3.679839611053467,9.341419219970703
fewshot,patchcore,bottle,10,1,1.0,0.9999999999999998,0.9855237398867652,0.7538371373365312,0.9234326050405178,0.7518206578671693,0.6023338413712996,0.0003381634778391186,0.4322608411312103,0.9292780014220625,0.4868696622391994,5.0,0.3271595537662506,0.6183987855911255
fewshot,patchcore-coreset,bottle,10,1,1.0,0.9999999999999998,0.9851859915268281,0.756267283042141,0.8731207365763382,0.7516956749716683,0.6021734122843864,0.0026099835770714472,0.4565655291080475,0.6469820000347681,0.3438140488305432,0.5,0.37601786851882935,0.6338686943054199
fewshot,prototype-only,bottle,10,1,1.0,0.9999999999999998,0.9812041713043872,0.6946805997639637,0.8242531257299748,0.7113541098180177,0.5520167450482152,0.0030164433276176255,5.430288791656494,2985.801728005754,1.0010161085043057,0.1259765625,3.178941011428833,8.090509414672852
fewshot,ppm-ad-full,bottle,10,1,1.0,0.9999999999999998,0.9814106524543033,0.7347895819525959,0.8818024635510674,0.7094016851783097,0.5496688450862584,0.003269573884159215,5.442554950714111,3057.7888789994176,2.277244096225638,0.1259765625,3.5764987468719482,8.77017593383789
fewshot,patchcore,bottle,10,2,1.0,0.9999999999999998,0.986299000891245,0.7743526893303393,0.8688563389426968,0.754190644407726,0.6053820683094597,0.000537863032740638,0.4138057231903076,0.984061996859964,0.49673480706511025,5.0,0.312613308429718,0.581936240196228
fewshot,patchcore-coreset,bottle,10,2,1.0,0.9999999999999998,0.9857420141968319,0.7756376661617388,0.8843554533619635,0.754929249766625,0.60633441884738,0.002268140328665908,0.4346981942653656,0.6114529969636351,0.36918527752803415,0.5,0.34475356340408325,0.59873366355896
fewshot,prototype-only,bottle,10,2,0.9912698412698412,0.9970320789130154,0.9826882467980588,0.7003969268253543,0.8046164555432636,0.722531721304073,0.5655966049048609,0.001701757742329508,5.527029037475586,3211.9494450016646,1.0246875420975756,0.1259765625,3.519296646118164,8.572408676147461
fewshot,ppm-ad-full,bottle,10,2,1.0,0.9999999999999998,0.9830781462743381,0.7370451830273272,0.8505925141845452,0.7275647932853174,0.5717892663185786,0.001936890426784198,5.412688255310059,3172.213200996339,2.326036217578277,0.1259765625,3.691972255706787,8.821222305297852
fewshot,patchcore,bottle,20,0,1.0,0.9999999999999998,0.9862916045906382,0.7945425651900357,0.9042494753314555,0.7455005081812869,0.5942613074322541,0.001587307553765953,0.40344515442848206,1.544794999063015,0.8633404458046846,10.0,0.2928035259246826,0.5942226052284241
fewshot,patchcore-coreset,bottle,20,0,0.9992063492063492,0.999751984126984,0.9860193356466392,0.7964343313324547,0.9009519661179693,0.74540087754288,0.5941347034286296,0.0005932805509888346,0.42959994077682495,2.8357019982649945,0.37032028904580233,1.0,0.33062365651130676,0.6179251670837402
fewshot,prototype-only,bottle,20,0,0.9992063492063492,0.999751984126984,0.9834438219091018,0.7415936702492509,0.8275603796877039,0.7203536136885547,0.5629317766175695,0.0014079160351887087,5.313943386077881,3786.7245050001657,1.005624108250023,0.1259765625,3.0836501121520996,8.67651653289795
fewshot,ppm-ad-full,bottle,20,0,1.0,0.9999999999999998,0.9832751158997355,0.7533865777287724,0.8359259843840352,0.7194908004407611,0.5618786656811333,0.013747223949749681,5.333987236022949,3675.754028998199,2.3206493853035957,0.1259765625,3.2580065727233887,9.066611289978027
fewshot,patchcore,bottle,20,1,1.0,0.9999999999999998,0.9859961555191804,0.7579296605904503,0.9307468682614949,0.7547521921357305,0.606106019516075,0.0003098659814067655,0.4241656959056854,1.4975550002418458,0.8499511445350721,10.0,0.312665730714798,0.6112974286079407
fewshot,patchcore-coreset,bottle,20,1,1.0,0.9999999999999998,0.985600754904548,0.7581977056516143,0.9000858306781497,0.7526899819475595,0.6034506025397083,0.0009725508974023729,0.44697314500808716,0.8785089958109893,0.3668341564059437,1.0,0.3546379506587982,0.6286913156509399
fewshot,prototype-only,bottle,20,1,0.9904761904761905,0.9968822713307322,0.9789187330465245,0.6288124081378197,0.9020340515259544,0.6883479736875914,0.5247946558073178,0.0004116607123999521,4.412012577056885,3763.8823300003423,1.0217893615341183,0.1259765625,2.8595614433288574,7.202843189239502
fewshot,ppm-ad-full,bottle,20,1,1.0,0.9999999999999998,0.9799610405423325,0.6735026003554969,0.8759053104007597,0.6929578924190812,0.5301725846473391,0.0009475110528680707,4.503101348876953,3682.430608001596,2.324663555051105,0.1259765625,3.1747186183929443,7.881235122680664
fewshot,patchcore,bottle,20,2,1.0,0.9999999999999998,0.9860523375752865,0.7683307103848709,0.8514171240361406,0.7507813319052598,0.60100073036078,0.00043080230663181736,0.404461145401001,1.494803000241518,0.8610957113679509,10.0,0.297269344329834,0.5725651979446411
